Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
Japan,1966,419743.155,4.246220625,105628000000.0,1068.55844,170450769,18912980,,3700672.0,226180696,1.7114,0.1899,,0.0372,2.271,7821107667.0,6192033171.0,200401158,,28256742.0,1400416594.0,419245117,0.4051,,,
Russia,1966,2003392.11,15.71682391,,,651114339,24033092,,188576563.0,357398996,5.1101,0.1886,,1.48,2.805,19630395765.0,13423402965.0,222667610,,1101492761.0,4882832442.0,1221122990,1.275,,,
United States,1966,3561878.111,18.12107301,815000000000.0,4146.316646,1132718272,34359864,20232608.0,842207040.0,1529661376,5.6104,0.1702,0.1002,4.1715,7.5765,138398579608.0,85713739460.0,772447739,568579574.0,13825479580.0,37260141263.0,3571208560,0.8065,,,
India,1967,172238.99,0.330973864,50134942203.0,96.33913646,119265244,5820807,1454608.0,487312.0,32697536,0.2292,0.0112,0.0028,0.0009,0.0628,3844230266.0,3312374925.0,75501625,3693340.0,1128519.0,451531858.0,159725507,0.2455,,,
Japan,1967,489881.864,4.904753392,123782000000.0,1239.318377,181498545,21238597,,3909459.0,282660828,1.8002,0.2107,,0.0388,2.8036,8310415097.0,6373531716.0,221639755,,32166201.0,1683077422.0,489307430,0.4257,,,
Russia,1967,2094843.423,16.34094217,,,655901297,25440921,,206261156.0,389263674,5.1167,0.1985,,1.6091,3.0367,20907262813.0,14079304262.0,248108531,,1307753917.0,5272096116.0,1276867048,1.2541,,,
United States,1967,3695708.943,18.59831788,861700000000.0,4336.426587,1163048864,33387195,26384464.0,881283600.0,1589194048,5.7039,0.1637,0.1294,4.322,7.7938,142103833829.0,86876788324.0,805834934,594964038.0,14706763180.0,38849335311.0,3705254221,0.8163,,,
India,1968,187336.029,0.352457485,53085455871.0,99.87596272,124002523,5872180,1370336.0,751120.0,42249584,0.2333,0.011,0.0026,0.0014,0.0795,4018476009.0,3436377448.0,81373805,5063676.0,1879639.0,493781442.0,174245743,0.2608,,,
Japan,1968,562565.471,5.569348596,146601000000.0,1451.337703,200119048,23564544,,4228228.0,334000735,1.9596,0.2307,,0.0414,3.2705,8872327652.0,6573650764.0,245204299,,36394429.0,2017078157.0,561912555,0.4331,,,
Russia,1968,2153698.773,16.70466286,,,648671174,26244117,,223323101.0,414511076,5.0339,0.2037,,1.7331,3.2168,22220012281.0,14727975436.0,274352648,,1531077018.0,5686607192.0,1312749468,1.2139,,,
United States,1968,3831354.94,19.08938916,942500000000.0,4695.92339,1139602928,35102422,27817088.0,936360848.0,1689422768,5.5373,0.1706,0.1352,4.5497,8.2088,145944536033.0,88016391252.0,840937356,622781126.0,15643124028.0,40538758079.0,3840702204,0.8077,,,
